firm_name,year_from,year_to,sbert_drift,eu_flag,period,group
TotalEnergies,2016,2017,0.0183,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
TotalEnergies,2017,2018,0.0062,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
TotalEnergies,2018,2019,0.0077,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
TotalEnergies,2019,2020,0.0161,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
TotalEnergies,2020,2021,0.0271,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
TotalEnergies,2021,2022,0.0276,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
TotalEnergies,2022,2023,0.0103,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
TotalEnergies,2023,2024,0.0066,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Unilever,2014,2015,0.1828,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Unilever,2015,2016,0.0072,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Unilever,2016,2017,0.0154,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Unilever,2017,2018,0.0079,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Unilever,2018,2019,0.0105,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Unilever,2019,2020,0.0262,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
Unilever,2020,2021,0.029,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Unilever,2021,2022,0.0213,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Unilever,2022,2023,0.0,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Unilever,2023,2024,0.0292,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
